name,score,params,model,features,study
LGBMClassifier_stem_gill_ring_and_veil_cap_,0.8132163315773194,"{'n_estimators': 396, 'learning_rate': 0.3127103255625897, 'num_leaves': 49, 'min_child_weight': 34.271465702553336, 'subsample': 0.49422284205663014, 'colsample_bytree': 0.8349400012932944, 'reg_alpha': 11.604257122380112, 'reg_lambda': 0.707168035407622}","LGBMClassifier(colsample_bytree=0.8696194797532981,
               learning_rate=0.009525948183448596,
               min_child_weight=51.91230554344209, n_estimators=289,
               num_leaves=46, reg_alpha=1.5413526996179776,
               reg_lambda=3.705505865134537, subsample=0.6702372906721861)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color']",<optuna.study.study.Study object at 0x71ac40317410>
LGBMClassifier_stem_gill_ring_and_veil_other_,0.740899930269595,"{'n_estimators': 437, 'learning_rate': 0.41476900758898516, 'num_leaves': 40, 'min_child_weight': 0.4925721402105692, 'subsample': 0.6564946109363556, 'colsample_bytree': 0.9240583450709182, 'reg_alpha': 14.111385793478869, 'reg_lambda': 0.005655506153573759}","LGBMClassifier(colsample_bytree=0.913154754234174,
               learning_rate=0.39299018500001376,
               min_child_weight=0.4585805490415238, n_estimators=499,
               num_leaves=37, reg_alpha=53.59486307575599,
               reg_lambda=5.029283971169975e-05, subsample=0.9576707959432926)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",<optuna.study.study.Study object at 0x71ac40317920>
RidgeClassifier_stem_gill_ring_and_veil_cap_other_,0.8370217114330789,"{'alpha': 0.08083309846799962, 'tol': 0.0010852244901399127}","RidgeClassifier(alpha=0.014912152977755886, tol=0.0007505162321775971)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",<optuna.study.study.Study object at 0x71ac3fd6cb00>
KNeighborsClassifier_stem_gill_ring_and_veil_cap_other_,0.8102005557153907,"{'n_neighbors': 50, 'weights': 'distance', 'p': 1}","KNeighborsClassifier(n_neighbors=50, p=1, weights='distance')","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",<optuna.study.study.Study object at 0x71ac3eedd9a0>
RandomForestClassifier_stem_gill_ring_and_veil_other_,0.7478006322582323,"{'n_estimators': 486, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 17, 'max_features': 'sqrt'}","RandomForestClassifier(max_depth=19, max_features='log2', min_samples_leaf=16,
                       min_samples_split=18, n_estimators=391)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",
XGBClassifier_stem_gill_ring_and_veil_cap_,0.7979585157912917,"{'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.12368484819018774, 'subsample': 0.7733564769679739, 'colsample_bytree': 0.9183665688664499, 'gamma': 0.23303934611731497, 'reg_alpha': 1.400828658036449e-08, 'reg_lambda': 2.9106211042736694e-08, 'min_child_weight': 13.605698452356354}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.8305085295225664, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0.17888150072251288,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.0797639868276998,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=7, max_leaves=None,
              min_child_weight=8.973622048807565, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=550,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color']",
XGBClassifier_stem_gill_ring_and_veil_other_,0.6639657371761943,"{'n_estimators': 750, 'max_depth': 13, 'learning_rate': 0.03618528583383713, 'subsample': 0.5785242926902309, 'colsample_bytree': 0.7952058446320879, 'gamma': 0.06911337881837798, 'reg_alpha': 2.4914783797174156e-05, 'reg_lambda': 0.0022812504912896143, 'min_child_weight': 2.5142249204007765}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.8954034053900359, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0.022613213800626208,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.010301632004796848,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=15, max_leaves=None,
              min_child_weight=1.4371010040883392, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=800,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",
RandomForestClassifier_stem_gill_ring_and_veil_cap_other_,0.8123469685845872,"{'n_estimators': 325, 'max_depth': 19, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'log2'}","RandomForestClassifier(max_depth=20, min_samples_leaf=10, min_samples_split=4,
                       n_estimators=281)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",
RidgeClassifier_stem_gill_ring_and_veil_cap_,0.8262885824879806,"{'alpha': 0.025038982593826517, 'tol': 0.001069388870268894}","RidgeClassifier(alpha=3.0334539791548094, tol=0.001300369556982418)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color']",<optuna.study.study.Study object at 0x71ac3e5ede20>
LGBMClassifier_stem_gill_ring_and_veil_,0.7408153485768544,"{'n_estimators': 375, 'learning_rate': 0.3074448356546649, 'num_leaves': 46, 'min_child_weight': 45.231566400721114, 'subsample': 0.11910841681188042, 'colsample_bytree': 0.9457893605084685, 'reg_alpha': 14.239918540031798, 'reg_lambda': 0.0004069747268873406}","LGBMClassifier(colsample_bytree=0.8189899523582562,
               learning_rate=0.17761736097268613,
               min_child_weight=62.850278367638225, n_estimators=438,
               num_leaves=48, reg_alpha=4.489811189391641,
               reg_lambda=0.00043469739936763976, subsample=0.2000525789282952)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color']",<optuna.study.study.Study object at 0x71ac3e5ee180>
XGBClassifier_stem_gill_ring_and_veil_,0.6638656376360681,"{'n_estimators': 550, 'max_depth': 15, 'learning_rate': 0.09004454570023922, 'subsample': 0.5514037433866364, 'colsample_bytree': 0.6156893356471015, 'gamma': 0.036706787526513074, 'reg_alpha': 0.002749826599076009, 'reg_lambda': 54.11612033001422, 'min_child_weight': 18.163247162703826}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.8362878646959734, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0.010873105992119101,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.0848590521697706,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=15, max_leaves=None,
              min_child_weight=9.466143371478502, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=800,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color']",
KNeighborsClassifier_stem_gill_ring_and_veil_,0.7393550996741729,"{'n_neighbors': 49, 'weights': 'uniform', 'p': 1}","KNeighborsClassifier(n_neighbors=50, p=1)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color']",<optuna.study.study.Study object at 0x71ac3e6299a0>
RidgeClassifier_stem_gill_ring_and_veil_,0.7984767498019116,"{'alpha': 2.7211264284078265, 'tol': 0.06606299588943172}","RidgeClassifier(alpha=2.0953886760255904, tol=0.037162920974156806)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color']",<optuna.study.study.Study object at 0x71ac3e63b9b0>
KNeighborsClassifier_stem_gill_ring_and_veil_other_,0.7393550996741729,"{'n_neighbors': 49, 'weights': 'uniform', 'p': 1}","KNeighborsClassifier(n_neighbors=48, p=1)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",<optuna.study.study.Study object at 0x71ac3e695e50>
LGBMClassifier_stem_gill_ring_and_veil_cap_other_,0.8104528060515447,"{'n_estimators': 474, 'learning_rate': 0.14483161088999957, 'num_leaves': 46, 'min_child_weight': 14.422371433535206, 'subsample': 0.44370765640022874, 'colsample_bytree': 0.9995539725337753, 'reg_alpha': 4.224741352709948e-05, 'reg_lambda': 0.0033294783337439932}","LGBMClassifier(colsample_bytree=0.9284133126978125,
               learning_rate=0.16551972296591957,
               min_child_weight=0.32468537938015085, n_estimators=181,
               num_leaves=39, reg_alpha=0.37540359594391154,
               reg_lambda=0.00015867211360001224, subsample=0.5784904483081965)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",
XGBClassifier_stem_gill_ring_and_veil_cap_other_,0.797606890044423,"{'n_estimators': 350, 'max_depth': 11, 'learning_rate': 0.09389429403323524, 'subsample': 0.7030952240912598, 'colsample_bytree': 0.7135584621254122, 'gamma': 0.22613636236936976, 'reg_alpha': 1.57447125632634e-05, 'reg_lambda': 4.3823327765846584e-07, 'min_child_weight': 30.744652116264763}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.6241539515808193, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0.3838650299191264,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.13076149834558087,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=9, max_leaves=None,
              min_child_weight=27.993359174947386, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=100,
              n_jobs=None, num_parallel_tree=None, random_state=None, ...)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",
RandomForestClassifier_stem_gill_ring_and_veil_,0.7478920197664494,"{'n_estimators': 478, 'max_depth': 20, 'min_samples_split': 14, 'min_samples_leaf': 12, 'max_features': 'sqrt'}","RandomForestClassifier(max_depth=20, min_samples_leaf=14, min_samples_split=14,
                       n_estimators=184)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color']",
KNeighborsClassifier_stem_gill_ring_and_veil_cap_,0.8102005557153907,"{'n_neighbors': 50, 'weights': 'distance', 'p': 1}","KNeighborsClassifier(n_neighbors=48, p=1)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color']",<optuna.study.study.Study object at 0x71ac3e4e62d0>
RidgeClassifier_stem_gill_ring_and_veil_other_,0.8156089247476664,"{'alpha': 0.016524433975793663, 'tol': 0.026328535429647807}","RidgeClassifier(alpha=0.0023044359569648004, tol=0.04216635863305961)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'spore-print-color', 'habitat', 'season', 'does-bruise-or-bleed']",<optuna.study.study.Study object at 0x71ac3e4fa210>
RandomForestClassifier_stem_gill_ring_and_veil_cap_,0.8126831961605714,"{'n_estimators': 388, 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2'}","RandomForestClassifier(max_depth=20, max_features='log2', min_samples_leaf=8,
                       min_samples_split=3, n_estimators=319)","['stem-height', 'stem-width', 'stem-root', 'stem-surface', 'stem-color', 'gill-spacing', 'gill-attachment', 'gill-color', 'has-ring', 'ring-type', 'veil-type', 'veil-color', 'cap-diameter', 'cap-shape', 'cap-surface', 'cap-color']",
